GPSREC_KID,GPSREC_SIM,GPSREC_LAT,GPSREC_LONG,GPSREC_DATEÿÿ1,GPSREC_TIME,GPSREC_SPEED,GPSREC_DEVICEID,GPSREC_IMEINO,GPSREC_NOOFSATTELITE,GPSREC_COURSE,GPSREC_GPSGSMMODE,GPSREC_CHARGEPER,GPSREC_SIGNALSTRENGTH,GPSREC_MCC,GPSREC_MNC,GPSREC_LAC,GPSREC_CI,GPSREC_DISTANCE,GPSREC_MARKPTID,GPSREC_ALLOTEEID,GPSREC_TRACKROUTEID,GPSREC_TRIPID,GPSREC_ACTIVEYN,GPSREC_DEVICEMODE
1478067,2147483647,23.216742,77.396675,31-12-2019,14.40.22,0,264,8.65691E+14,9,139,1,76,17,404,93,1772,6043,0.010533,0,264,1,1,Y,1
1478000,2147483647,23.216789,77.396667,31-12-2019,13.49.18,0,264,8.65691E+14,8,302,1,90,17,404,93,1772,6043,0.007483,0,264,1,1,Y,1
1478003,2147483647,23.216642,77.396858,31-12-2019,13.54.42,0,264,8.65691E+14,8,331,1,88,18,404,93,1772,6043,0.025457,0,264,1,1,Y,1
1478004,2147483647,23.216816,77.396675,31-12-2019,13.55.58,2,264,8.65691E+14,8,320,1,88,17,404,93,1772,6043,0.003111,0,264,1,1,Y,1
1478011,2147483647,23.216887,77.396606,31-12-2019,13.59.18,0,264,8.65691E+14,7,32,1,87,16,404,93,1772,6043,0.010585,0,264,1,1,Y,1
1478012,2147483647,23.216829,77.39666,31-12-2019,14.00.28,1.91,264,8.65691E+14,8,7,1,87,12,404,93,1772,6043,0.002108,0,264,1,1,Y,1
1478015,2147483647,23.216793,77.396606,31-12-2019,14.01.32,1.85,264,8.65691E+14,9,315,1,86,17,404,93,1772,6043,0.006817,0,264,1,1,Y,1
1478016,2147483647,23.216919,77.396629,31-12-2019,14.02.39,0.24,264,8.65691E+14,6,345,1,86,14,404,93,1772,6043,0.010496,0,264,1,1,Y,1
1478018,2147483647,23.21689,77.396606,31-12-2019,14.03.43,0,264,8.65691E+14,9,161,1,86,14,404,93,1772,6043,0.003989,0,264,1,1,Y,1
1478019,2147483647,23.216827,77.396591,31-12-2019,14.04.52,0,264,8.65691E+14,6,148,1,86,20,404,93,1772,6043,0.010941,0,264,1,1,Y,1
1478022,2147483647,23.216858,77.396576,31-12-2019,14.05.57,0,264,8.65691E+14,9,196,1,86,20,404,93,1772,6043,0.003773,0,264,1,1,Y,1
1478023,2147483647,23.216871,77.396568,31-12-2019,14.07.06,0,264,8.65691E+14,9,332,1,85,19,404,93,1772,6043,0.005428,0,264,1,1,Y,1
1478026,2147483647,23.216845,77.396584,31-12-2019,14.08.10,0,264,8.65691E+14,8,226,1,85,17,404,93,1772,6043,0.003319,0,264,1,1,Y,1
1478027,2147483647,23.216877,77.396591,31-12-2019,14.09.17,0,264,8.65691E+14,8,239,1,85,18,404,93,1772,6043,0.002443,0,264,1,1,Y,1
1478030,2147483647,23.216864,77.396568,31-12-2019,14.12.34,0,264,8.65691E+14,7,200,1,85,20,404,93,1772,6043,0.00276,0,264,1,1,Y,1
1477999,2147483647,23.216722,77.39666,31-12-2019,13.48.08,0,264,8.65691E+14,6,305,1,91,16,404,93,1772,6043,0,0,264,1,1,Y,1
1477996,2147483647,23.216722,77.39666,31-12-2019,13.47.04,0,264,8.65691E+14,6,305,1,91,19,404,93,1772,6043,0.003137,0,264,1,1,Y,1
1477995,2147483647,23.216728,77.39669,31-12-2019,13.45.59,0,264,8.65691E+14,8,295,1,90,17,404,93,1772,6043,0,0,264,1,1,Y,1
1477975,2147483647,23.216831,77.396652,31-12-2019,13.19.29,0,264,8.65691E+14,5,344,1,97,15,404,93,1772,6043,0,0,264,1,1,Y,1
1477976,2147483647,23.216858,77.396614,31-12-2019,13.20.39,2.11,264,8.65691E+14,5,293,1,96,11,404,93,1772,6043,0,0,264,1,1,Y,1
1477977,2147483647,23.216988,77.396385,31-12-2019,13.23.56,0,264,8.65691E+14,5,300,1,93,11,404,93,1772,6043,0.027505,0,264,1,1,Y,1
1477978,2147483647,23.217014,77.39637,31-12-2019,13.25.01,2.09,264,8.65691E+14,6,324,1,91,15,404,93,1772,6043,0.030373,0,264,1,1,Y,1
1477979,2147483647,23.217026,77.3964,31-12-2019,13.26.05,0,264,8.65691E+14,6,329,1,96,11,404,93,1772,6043,0.003344,0,264,1,1,Y,1
1477980,2147483647,23.217026,77.3964,31-12-2019,13.27.11,0,264,8.65691E+14,6,329,1,95,13,404,93,1772,6043,0.003344,0,264,1,1,Y,1
1477981,2147483647,23.217058,77.396507,31-12-2019,13.30.26,0,264,8.65691E+14,6,338,1,95,17,404,93,1772,6043,0.011498,0,264,1,1,Y,1
1477982,2147483647,23.217049,77.396599,31-12-2019,13.31.38,0,264,8.65691E+14,6,21,1,91,15,404,93,1772,6043,0.020495,0,264,1,1,Y,1
1477983,2147483647,23.216755,77.39666,31-12-2019,13.37.10,0,264,8.65691E+14,6,134,1,92,15,404,93,1772,6043,0.033279,0,264,1,1,Y,1
1477984,2147483647,23.216698,77.396744,31-12-2019,13.38.16,0,264,8.65691E+14,7,315,1,92,17,404,93,1772,6043,0.041746,0,264,1,1,Y,1
1477985,2147483647,23.216698,77.396744,31-12-2019,13.39.20,0,264,8.65691E+14,7,315,1,91,17,404,93,1772,6043,0,0,264,1,1,Y,1
1477986,2147483647,23.216728,77.39669,31-12-2019,13.40.26,1.5,264,8.65691E+14,6,308,1,90,18,404,93,1772,6043,0.006447,0,264,1,1,Y,1
1477989,2147483647,23.216728,77.39669,31-12-2019,13.41.30,0,264,8.65691E+14,6,295,1,91,18,404,93,1772,6043,0,0,264,1,1,Y,1
1477990,2147483647,23.216728,77.39669,31-12-2019,13.42.38,0,264,8.65691E+14,6,295,1,86,16,404,93,1772,6043,0,0,264,1,1,Y,1
1478031,2147483647,23.216759,77.396614,31-12-2019,14.13.45,0,264,8.65691E+14,7,249,1,85,18,404,93,1772,6043,0.013329,0,264,1,1,Y,1
1478103,2147483647,23.216787,77.396683,31-12-2019,15.03.33,0,264,8.65691E+14,11,171,1,73,13,404,93,1772,6043,0.00442,0,264,1,1,Y,1
1478071,2147483647,23.216772,77.396599,31-12-2019,14.42.33,0,264,8.65691E+14,12,149,1,76,14,404,93,1772,6043,0.008452,0,264,1,1,Y,1
1478076,2147483647,23.216742,77.39666,31-12-2019,14.45.47,0,264,8.65691E+14,11,180,1,77,16,404,93,1772,6043,0.00707,0,264,1,1,Y,1
1478077,2147483647,23.216738,77.396675,31-12-2019,14.47.04,0,264,8.65691E+14,12,157,1,76,13,404,93,1772,6043,0.008638,0,264,1,1,Y,1
1478080,2147483647,23.216738,77.39669,31-12-2019,14.48.08,0,264,8.65691E+14,11,168,1,76,17,404,93,1772,6043,0.001531,0,264,1,1,Y,1
1478081,2147483647,23.216732,77.39669,31-12-2019,14.49.16,0,264,8.65691E+14,11,101,1,73,18,404,93,1772,6043,0.001674,0,264,1,1,Y,1
1478084,2147483647,23.216713,77.396698,31-12-2019,14.50.20,0,264,8.65691E+14,12,146,1,76,18,404,93,1772,6043,0.002266,0,264,1,1,Y,1
1478085,2147483647,23.216764,77.396683,31-12-2019,14.51.30,0,264,8.65691E+14,12,354,1,75,19,404,93,1772,6043,0.00363,0,264,1,1,Y,1
1478088,2147483647,23.216837,77.396652,31-12-2019,14.54.43,1.96,264,8.65691E+14,10,129,1,75,19,404,93,1772,6043,0.008713,0,264,1,1,Y,1
1478089,2147483647,23.216797,77.39666,31-12-2019,14.55.48,0,264,8.65691E+14,11,172,1,75,16,404,93,1772,6043,0.004356,0,264,1,1,Y,1
